name,venue,date,time,description,href
Bad Night sponsored by A,Teder,Wed 25 January 2023,8:00 pm - 11:00 pm,Bad Night sponsored by A Acoustic show from House A a collective of local artists and creators who play each other’s songs together and separately Payment for the event in full format As you can with all proceeds being a contribution to the culture of solidarity food baskets Entry of 18 will be allowed by buying a ticket in advance Buying a ticket at the entrance will be possible for ages 21 in the middle of the week and 23 on Thursdays in accordance with Beit Romano’s guidelines In the House of Solidarity there is no place for racist transphobic sexist behavior and harassmentviolence of any kind Unfortunately at this time there is no elevator to the House of Solidarity but please contact us in advance to coordinate access for the disabled באד נייט בחסות א’ בהשתתפות עמרי קרן עיליי אשדות סידי הק מתן לוי ואבשלום מידן מופע אקוסטי כל כך מבית א׳ קולקטיב של אמנים ויוצרים מקומיים שמנגנים שירים אחד של השני ביחד ובנפרד התשלום לאירוע במתכונת שלםי כפי יכולתך כאשר כל ההכנסות תרומה למערך סלי המזון של תרבות של סולידריות תתאפשר כניסה של 18 בקניית כרטיס מראש קניית כרטיס בכניסה תתאפשר לגילאי 21 באמצע שבוע ו23 בימי חמישי בהתאם להנחיות הבית רומנו בבית של סולידריות אין מקום להתנהגות גזענית טרנספובית סקסיסטית והטרדותאלימות מכל סוג לצערנו הרב בשלב זה אין מעלון לבית של סולידריות אך אנא צרו איתנו קשר מראש לתיאום גישה עבור נכים,https://www.secrettelaviv.com/tickets/bad-night-sponsored-by-a
Yaron Yehu,Levontin7,Wed 25 January 2023,8:00 pm - 11:00 pm,Yaron Yehu is coming to Levontin7 with great show Location 7 Levontin Street Tel Aviv Tickets httpslevontin7comeventsD799D794D795D790D799D7A8D795D79F15sd1674675000ed1674682200mibextidZxz2cZ אביב ברק גיא שמי ניר שלמה גלעד לוין נתחיל בשמונה כדי לנגן הרבה שירים,https://www.secrettelaviv.com/tickets/yaron-yehu
Footnote,Gagarin,Wed 25 January 2023,8:30 pm - 11:45 pm,★ From Space and Anuya Productions Presents Footnote ★ Wednesday 251 2030 Gagarin Club Tel Aviv “Footnote” A new project brings all that is good in the alternative scene in Israel and brings to the stage the rising stars and the freshest artists there is ← In addition the event will have tattoo booths records artists’ clothes food accessories panzins and more surprises A full program will be published later ★★★ Tickets are hijacked httpseventbuzzcoilfootnote ⋆⋆ Footnotes ⋆⋆ ⋆ Good people of all ages and genders are invited to the event ⋆ The number of tickets is limited Don’t wait and reserve your place at the event ⋆ It is recommended to arrive early for the overall experience at the festival we are preparing ★ פרום ספייס ואבויה הפקות מציגים הערת שוליים ★ יום רביעי 251 2030 מועדון הגגרין תל אביב “הערת שוליים” פרויקט חדש מביא את כל מה שטוב בסצנה האלטרנטיבית בארץ ומעלה לבמה את הכוכבים העולים והאמנים הכי פרש שיש ← ★ במת לייב ★ AGAT Bzaat המפשעות גיאגיא ואיילו דימה XR ★ יריד אמנים ותקלוטים ★ DJ Omri Dor בנוסף יהיו באירוע דוכני קעקועים תקליטים בגדי אמנים אוכל אקססוריז פנזינים ועוד הפתעות תכנית מלאה תפורסם בהמשך ★★★ כרטיסים נחטפים httpseventbuzzcoilfootnote ⋆⋆ הערות שוליים ⋆⋆ ⋆ אנשים טובים מכל הגילאים והמינים מוזמנים לאירוע ⋆ מספר הכרטיסים מוגבל אל תחכו ושמרו לכם מקום באירוע ⋆ מומלץ להגיע מוקדם מוקדם לחוויה הכוללת בפסטיבל שאנחנו מכינים,https://www.secrettelaviv.com/tickets/footnote
BALDA,OZEN,Wed 25 January 2023,10:00 pm - 11:30 pm,BALDA LIVE We are launching the new single ‘MAD AT YOU’ in Ozen with new material from the next album the previous album on 251 2200 doors open 40 NIS in the qualifiers 55 NIS instead Tickets – httpsozentlvcomeventbalda2 Address King George 48 JaffaTel Aviv BALDA LIVE משיקים את הסינגל החדש ‘MAD AT YOU’ באוזן עם חומרים חדשים מהאלבום הבא האלבום הקודם ב251 2200 פתיחת דלתות 40₪ במוקדמות 55₪ במקום כרטיסים – httpsozentlvcomeventbalda2,https://www.secrettelaviv.com/tickets/balda
Gabriel Palatchi Trio (Argentina) - Latin jazz,the Ilana Goor Museum,Thu 26 January 2023,6:00 pm - 8:00 pm,Ilana Goor Museum Mazal Dagim 4 Tel Aviv On January 26th the Ilana Goor Museum in Old Jaffa invites you to join Argentinian pianist and composer Gabriel Palatchi and his Trio for an eclectic musical journey with the original blend of genres such as latin jazz tango funk middle east and more We will start the evening with guided tours through the museum in Hebrew and Russian and with a glass of warm red sangria Band Members Gabriel Palatchi – piano composition Israel Biton – drums Nadav Mezame – bass 1900 – doors open and guided tours through the museum in Hebrew and Russian 20002100 – Performance at the main hall of the museum Ticket price – 125 NIS including the entrance fee the tour the concert and sangria The number of seats is limited No assigned seats Argentinian pianist composer and “Billboard Magazine” emerging artist Gabriel Palatchi is a restless innovator known for viscerally exciting sets Gabriel’s songs are a representation of the many cultures which have influenced his music over the years with a deep core in latin jazz For the past 8 years Gabriel has been performing at major international music festivals touring throughout Mexico Canada and Europe His music is broadcast across radio stations all over the world from Alaska through to South America Europe the Middle East and Australia It has been reviewed and featured on Rolling Stone Magazine Latin Jazz Network All About Jazz and Inside World Music amongst many others Ilana Goor Museum Mazal Dagim 4 Old Jaffa EN follows HE ביום חמישי 26012023 נארח במוזיאון אילנה גור את שלישייתו של כוכב ג’אז הלטיני הפסנתרן הארגנטינאי גבריאל פלאצ’י תצטרפו למסע מוזיקלי מרתק עם השילוב המקורי של ג’אז לטיני טנגו פאנק מוסיקה מזרח תיכונית ועוד כדי להשלים את החוויה הכנו לכם סיור מודרך ברחבי המוזיאון בשעה 1900 וגם סנגריה ביתית חמה שתקבלו לפני תחילת ההופעה לינק לוידאו חברי ההרכב גבריאל פלאצ’י – פסנתר הלחנה ישראל ביטון – תופים נדב מזמה – בס 1900 פתיחת דלתות וסיורים מודרכים בעברית וברוסית 20002100 הופעה בחלל הכניסה של המוזיאון עלות הכרטיס לערב כולל כניסה למוזיאון סיור הופעה וסנגריה הינה 125 ש”ח ניתן לרכוש כרטיסים דרך הלינק httpstinyurlcom38mhyrte מספר המקומות מוגבל המקומות לא מסומנים הפסנתרן והמלחין גבריאל פלאצ’י הוא אחד מהשמות החמיםעכשוויים בסצינת הלטיןג’אז אפרוקובני וטנגוג’אז העולמית כתובת רח’ מזל דגים 4 יפו העתיקה חניה קרובה חניון נמל יפו,https://www.secrettelaviv.com/tickets/gabriel-palatchi-trio-argentina-latin-jazz-at-the-ilana-goor-museum
Festival Maximillian,Hangar 11,Thu 26 January 2023,7:30 pm - 9:30 pm,An exclusive experience from Marina Maximilian returns to us for the third time An original festival from the imagination of the most WOW musician in Israel who composed the content with her own hands especially for you A festival that spans an entire evening full of art culture cultures inspiration from the world guest artists and creators the house band lighting displays and a unique stage design Two performances Thursday 26th Jan Saturday 28th Jan חוויה בלעדית מבית מארינה מקסימיליאן חוזרת אלינו בפעם השלישית פסטיבל מקורי פרי דמיונה של המוסיקאית הכי WOW בישראל שרקחה במו ידיה את התוכן במיוחד עבורכם פסטיבל הנפרש על פני ערב שלם גדוש באומנות תרבות תרבויות השראה מהעולם אמנים אורחים ויוצרים להקת הבית מיצגי תאורה ועיצוב במה ייחודי מארינה “בוער בי לייצר חוויה תרבותית מסוג חדשהאמנות היא הבריחה המושלמת שמעשירה את חיינו ועוצרת את הזמןיש לי את הכבוד להזמין אתכם לערב מפתיע ומגוון הקדשתי המון מחשבה לכל פרט כדי לייצר לכם חוויה שתישאר אתכם״ נותן חסות לאירוע – POWERED BY CUPRA Location Hangar 11 Namal Tel Aviv Read more Looking for more cool events Sign up to our weekly Events Newsletter to get all kinds of awesome recommendations directly to your inbox Sign up to our weekly Events Newsletter here Looking for more ideas,https://www.secrettelaviv.com/tickets/festival-maximillian-hangar-11
Ishay Berger &amp; The Brothers,Ozen,Thu 26 January 2023,7:30 pm - 11:30 pm,After the explosive performance at the Barby “Ishay Berger and the Brothers” are coming back in a big way And this time to the renewed Ozen in Tel Aviv With the old hits some more new ones Links to clips Small boats The children’s music They will be warmed by the rock and roll atmosphere of the City Revival band immediately after the launch of the new album on display Link to the clips speak your mind war inside And if that’s not enough Book your place soon 126 Opening doors – 1930 Advance sale – NIS 40 At the cash register – NIS 50 18 אחריי ההופעה המפוצצת בבארבי ׳׳ישי ברגר והאחים׳׳ חוזרים ובגדול והפעם לאוזן המחודש בתל אביב הסופר גרופ פאנק שמורכב מחברים בטברנק קידס אינסיין פאנקייק נוט און טור בא לתת בראש עם הלהיטים הישנים עוד כמה חדשים לינקים לקליפים סירות קטנות המוזיקה של הילדים אותם יחממו באווירת רוק אנד רול להקת הסיטי רבייבל מיד אחרי השקת האלבום החדש on display לינק לקליפים speak your mind war inside ואם זה לא מספיק נתחיל את הערב עם הופעת הבכורה של ג׳יימי הילסדן המוכר לכולנו מהלקה הותיקה ׳׳man alive׳׳ בהרכב חדש מהניילונים ההופעה לכבוד יומההולדת של איתי ברלינסקי שריינו לכם מקום בהקדם 261 פתיחת דלתות – 1930 מכירה מוקדמת – 40 ש״ח בקופה – 50 ש״ח 18,https://www.secrettelaviv.com/tickets/ishay-berger
JEWISH BATTLE,Levontin 7,Thu 26 January 2023,8:00 pm - 11:00 pm,And here comes the season opener of Battle Rap on Levontin 7 Price for advance purchase NIS 55 Tickets httpslevontin7comeventsjewishbattlesd1674763200ed1674768600fbclidPAAaYYC9v9dqihv7U4H33l6ScWOEDGNeCHDSE0OUcakGUqKb9ZVoMw7ofw23tixmibextidZxz2cZ Location 7 Levontin Street Tel Aviv Israel והנה פתיחת עונה של באטל ראפ מגיעה שרק נגד אמסי בריבועסימן שאלה פאזל נגד ג׳ובל פארמר נגד מישה זולוד באטל פריסטייל בין מלכה בי ואמסי בריבוע הופעת בכורה של כל הכוכבים של גוויש באטל חימום מכניק CicatrixZayden The Alien מחיר ברכישת מוקדמות 55שח,https://www.secrettelaviv.com/tickets/jewish-battle
TIME FOR SOMETHING REAL,The Guitar Loft,Thu 26 January 2023,8:00 pm - 11:00 pm,Excited to announce that we will open the new year with a show that is all Time For Something Real On 01262023 we will meet at Guitar Loft So what will await you there • New songs that will be played for the first time before they are released • Finger licking March • Opening show – the crazy Dead On Impact doors open 2000 Admission is for all ages so come buy tickets httpsguitarloftcoilproductthesummittimeforsomethingreal Location The Guitar Loft Shoken St 27 Tel AvivYafo Want a physical card Send a DM and we will come to your home Qualifiers 50 NIS Box office 60 NIS TIME FOR SOMETHING REAL Watch httpswwwyoutubecomwatchv3ZOciUtY73E Listen httpsopenspotifycomalbum1C1paroudYtQ7vuoXNAr0V DEAD ON IMPACT Watch httpswwwyoutubecomwatchvGDpNPz3ErHg Listen httpsopenspotifycomartist6puCRmDd1SHJI7i1IDoTDH נרגשים להודיע שנפתח את השנה החדשה במופע שהוא כולו Time For Something Real ב26012023 ניפגש בגיטר לופט אז מה יחכה לכם שם • שירים חדשים שיושמעו בפעם הראשונה לפני שיחרורם לאוויר • מרץ’ ללקק את האצבעות • מופע פותח – Dead On Impact המטורפים פתיחת דלתות 2000 הכניסה לכל הגילאים אז בואו קנו כרטיסים httpsguitarloftcoilproductthesummittimeforsomethingreal רוצים כרטיס פיזי שלחו DM ונגיע אליכם הביתה מוקדמות 50 ש”ח קופות 60 ש”ח TIME FOR SOMETHING REAL צפו httpswwwyoutubecomwatchv3ZOciUtY73E האזינו httpsopenspotifycomalbum1C1paroudYtQ7vuoXNAr0V DEAD ON IMPACT צפו httpswwwyoutubecomwatchvGDpNPz3ErHg האזינו httpsopenspotifycomartist6puCRmDd1SHJI7i1IDoTDH,https://www.secrettelaviv.com/tickets/time-for-something-real
From Slave To Prophet - Release Show,Tmuna Theater,Thu 26 January 2023,9:15 pm - 11:15 pm,Twisted mind – Fusing middle eastern music with modern Heavy metal since 2017 – are back for a special charity show at the Tmuna Theater Location Tmuna Theater Soncino 8 היידה חאפלה שימו לב קרחניסטים שלוש שנים של עבודה קשה וציפיה מגיעות לקיצן ומניבות פרי שלוש שנים בהן התחלפו חברי להקה במות נסגרו ומה לא ועכשיו עכשיו זה הזמן שלנו לפרוק הכל להפגש כולנו ביחד תחת קורת גג אחת לשכוח מכל הצרות ופשוט להיות TWISTED במופע השקה שכולו חאפלה מטאלית אחת גדולה רצינו להרים עבורכם מופע השקה מיוחד לא סתם עוד חארבו דארבו ואין משהו יותר מיוחד וחזק מלשמח ולתת מעצמך לאחר לכן במסיבה הזאת כל ההכנסות יתרמו לילדים חולי סרטן דרך עמותת להושיט יד אז בלי להוסיף יותר מדי בואו להרים איתנו מסיבה שתרעיד את כל העיר ועל הדרך עזרו לנו לתרום לשמוח ולשמח יאלללהההההה חאפלללהההההההה ההופעה תתקיים בתיאטרון תמונע שד’ שונצינו 8 תל אביב פתיחת דלתות 2115 תחילת מופע – וואלק ממש קרוב לפתיחת הדלתות אז דיר באלאק לאחר כרטיסים זמינים כבר עכשיו אל תחכו לדקה ה90 כרטיסים במוקדמות ימכרו ב 70 ש”ח ויכללו חולצה מיוחדת שתודפס עבור ערב ההשקה כרטיסים בקופה בערב האירוע יעלו 85 ש”ח רוצים לתרום יותר כרטיסים עם תרומה מורחבת ימכרו ב100 ש”ח ויכללו גם הם את החולצה הנ”ל שימו לב כרטיסים שימכרו בערב האירוע לא כוללים חולצה במתנה הזמנת החולצות תסגר ב19012022 שימו לב אנחנו מזכירים שוב – כל ההכנסות מהערב הזה יתרמו לעמותת “להושיט יד”,https://www.secrettelaviv.com/tickets/from-slave-to-prophet-release-show
